street,state,city,post_code,safety_flag,post_code_extension,country
6404 N Central St,MO,Kansas City,64118,False,3840,US
14836 Kentucky Street,MI,Detroit,48238,True,Not Available,US
12154 SW 4th St,FL,Pembroke Pines,33025,False,5944,US
184 Reeve Ter,NJ,Plainfield,07062,False,1531,US
4724 Sepulveda Blvd #201,CA,Sherman Oaks,91403,False,Not Available,US
810 Division St,MI,De Tour Village,49725,False,9702,US
1903 ne kensington ct,WA,Issaquah,98029,True,Not Available,US
517 Nicholas Rd,NJ,Brick,08724,False,4619,US
5 Center St,OH,Casstown,45312,False,8016,US
1422 Sutterville Rd,CA,Sacramento,95822,False,1256,US
178 Hurd Road,CT,Trumbull,6611,False,Not Available,US
2909 E Stewart Ave Apt 2909,CA,Visalia,93292,False,Not Available,US
11 Polaris Rd,NJ,Blackwood,08012,False,2422,US
348 Lexington Pike,KY,Maysville,41056,False,1046,US
2693 Rauchtown Rd,PA,Jersey Shore,17740,False,7258,US
170 Park Place Dr,CA,Petaluma,94954,False,6647,US
91 Washington St,MA,Norwood,02062,False,1509,US
2926 lake court,FL,Lakeland,33812,False,Not Available,US
308 13TH ST,OH,GREENVILLE,45331,False,Not Available,US
7700 E Academy Blvd Unit 204,CO,Denver,80230,False,7168,US
30 River Ct,NJ,Jersey City,07310,False,2101,US
339 W 17th St,IL,Chicago Heights,60411,False,3207,US
14 Helen Street,CT,Fairfield,6824,False,Not Available,US
148 N Mine Canyon Rd,CA,Orange,92869,False,5805,US
5124 W 64th Pl,IL,Chicago,60638,False,5737,US
4960 Country Club Court,LA,Lake Charles,70605,False,Not Available,US
3302 Cypress Street,TX,Victoria,77901,False,Not Available,US
5331 Delta Ranch Dr,CA,Oakley,94561,False,3045,US
1648 Camino Ln,CA,Madera,93637,False,8652,US
22938 HIGHLAND ESTATES CT,TX,CONROE,77385,False,Not Available,US
130 West Kennedy Drive,NJ,Egg Harbor Township,8234,False,Not Available,US
1017 W 3rd St,PA,Erie,16507,False,1045,US
11402 Casa Blanca St,CA,Yucaipa,92399,False,9740,US
47910 Fernwood St,MI,Wixom,48393,False,2609,US
65 Atwood St,RI,West Warwick,02893,True,4305,US
322 Prospect St,MA,East Longmeadow,01028,False,3154,US
2508 E Plum St,TX,Laredo,78043,False,1607,US
3 Bontecou Lane,NY,New City,10956,False,Not Available,US
11 Goldbriar Way,CA,Mission Viejo,92692,False,Not Available,US
1275 15th street,NJ,Fort Lee,7024,False,Not Available,US
4309 Eagle Rock Blvd,CA,Los angeles,90041,False,Not Available,US
7115 French Hill RD NW,OH,Dover,44622,False,Not Available,US
7700 S Mission Lane,IN,Muncie,47302,False,Not Available,US
2704 Port Rd,LA,New Iberia,70560,False,9669,US
9531 State Highway 151,TX,San Antonio,78251,False,4496,US
1150 Pheasant Dr,CA,Pittsburg,94565,False,6833,US
8831 NW 194th Ter,FL,Hialeah,33018,False,6224,US
6115 Royal Point Dr,TX,SAN ANTONIO,78239,False,Not Available,US
1243 N 17th St,PA,Philadelphia,19121,False,Not Available,US
179 County Road 142,TX,Alice,78332,False,2111,US
3448 Saint Bart Lane Apt 203,FL,Tampa,33614,False,Not Available,US
115 W Elm St,TX,Laredo,78040,False,1917,US
3931 1/2 Denker Ave,CA,Los Angeles,90062,False,1141,US
108 Haffey Rd,TX,Refugio,78377,False,4400,US
1620 Nash Street,TX,Garland,75042,False,Not Available,US
230 Bella Vista Dr,TX,San Antonio,78228,False,2406,US
40 Cedar Walk,CA,Long Beach,90802,False,Not Available,US
134 Cackling Goose,TX,San Antonio,78253,False,Not Available,US
18603 Jamaica ave,NY,Hollis,11423,False,Not Available,US
11521 Solaya Way,FL,Orlando,32821,False,9454,US
1813 Winding Trail Ln,TX,Alvin,77511,False,4157,US
435 N 35th Ave Lot 183,CO,Greeley,80631,False,9456,US
23505 Archibald Ave,CA,Carson,90745,False,5705,US
445 Pacific Ave,NJ,Jersey City,07304,False,3768,US
3344 Tierra Nevada Dr,TX,El Paso,79938,False,Not Available,US
3848 Cortez Dr,TX,Dallas,75220,False,5013,US
17654 Fisher St,CA,Victorville,92395,False,7759,US
4340 palmcia dr,CA,bakersfield,93307,True,Not Available,US
456 W Main St #313,WI,Waukesha,53186,False,Not Available,US
16442 Meredrew Lane,FL,Clermont,34711,False,Not Available,US
547 Cumberland Dr,TX,Allen,75002,False,4070,US
4918 Diana Ct SE,WA,Auburn,98092,False,Not Available,US
10028 Ives Loop,FL,Hudson,34667,False,0013,US
9144 Yancy St NE,MN,Blaine,55449,False,Not Available,US
2027 W Court St,CA,Los Angeles,90026,False,5351,US
308 NW 153 Ln,FL,Pembroke Pines,33028,False,Not Available,US
25 Hill St,TX,Brownsville,78521,False,Not Available,US
23845 Arroyo Park Drive,CA,Valencia,91355,False,Not Available,US
3259 Giegerich Pl,NY,Bronx,10465,False,4011,US
133 Franklin St,NY,Brooklyn,11222,False,0602,US
8164 Langdon Avenue,CA,Los Angeles,91406,False,Not Available,US
9614 Campton Farms,TX,San Antonio,78250,False,1724,US
1010 Park Drive,CA,Bakersfield,93306,False,Not Available,US
859 N Calle Circulo,CA,Camarillo,93010,False,5905,US
184 Stockman Cir,TX,Spring Branch,78070,False,6160,US
11522 Oaks Hike,TX,San Antonio,78245,False,4607,US
4512 Earl Ave,CA,Bakersfield,93306,False,6458,US
1712 Placer Ct,CA,Bakersfield,93309,False,3489,US
2107 Brookshire St,TX,Arlington,76010,False,3128,US
6505 San Francisco Rd NE,NM,Albuquerque,87109,False,5533,US
210 Shaw Street,NC,Fort Bragg,28307,False,Not Available,US
102 Clark St,TN,Johnson City,37604,True,4440,US
126 26th Ave NE,FL,Saint Petersburg,33704,False,Not Available,US
2720 Camino Lazo,NM,Santa Fe,87505,False,5840,US
215 S Logan St.,IL,Mason City,62664,False,Not Available,US
12421 Coursey Blvd,LA,Baton Rouge,70816,False,4552,US
804 Leverett Ave,NY,Staten Island,10312,False,2039,US
132 Kramer Way,NV,Dayton,89403,False,6351,US
8021 Georgia Ave,MD,Silver Spring,20910,False,4983,US
155 N 16th St,CA,San Jose,95112,False,1929,US
4123 Benicia Ln,IN,INDIANAPOLIS,46235,False,Not Available,US
525 Willow Ln,AL,Birmingham,35206,False,1836,US
26165 Bruffs Island road,MD,Easton,21601,False,Not Available,US
2611 Easom Cir Apt 282,TX,Arlington,76006,False,4136,US
737 Milton Avenue,SC,Rock Hill,29730,False,Not Available,US
4400 Burns Ave,CA,Los Angeles,90029,False,2703,US
163 W Clark St,MI,Jackson,49203,False,5030,US
5309 Cindy Kay Dr,FL,Plant City,33566,False,8008,US
1219 W Alamosa Dr,TX,Terrell,75160,False,Not Available,US
8306 Linton Blvd,OH,Columbus,43235,False,8433,US
1626 Nolte Dr,TX,Dallas,75208,False,Not Available,US
4609 S 29th St,TX,McAllen,78503,False,8652,US
1206B April Bloom,TX,College Station,77840,False,1806,US
6510 Hickman Ave,TX,Austin,78723,False,Not Available,US
10306 Strathmore Hall St,MD,North Bethesda,20852,False,Not Available,US
1601 North Alamo,TX,San Antonio,78215,False,Not Available,US
25741 Swan Ln,MO,Urbana,65767,False,8498,US
3405 NW 44TH ST,FL,Lauderdale Lakes,33309,False,Not Available,US
591 Waltersburg Road,IL,Golconda,62938,False,Not Available,US
3404 E County Line Rd,CO,Highlands Ranch,80126,False,Not Available,US
15102 Newcomer Ave,IA,Grinnell,50112,False,Not Available,US
825 Lawrence Ave,NJ,Westfield,7090,False,Not Available,US
1006 Yukon Dr,TX,Mansfield,76063,False,6348,US
2105 W Loren Cir CR,AR,Fayetteville,72701,True,3039,US
3 Pond Drive,NY,Lloyd Harbor,11743,False,Not Available,US
6 Rolling Fern Place,FL,Palm Coast,32164,False,Not Available,US
902 Country Park Dr SE,GA,Smyrna,30080,False,8223,US
651 North 120th Street,KS,Girard,66743,False,Not Available,US
524 Memphis Ave,WI,Madison,53714,False,1513,US
605 Mackwood Dr,MS,Hattiesburg,39402,False,2031,US
3869 NW 82nd Street,MO,Kansas City,64151,False,Not Available,US
4930 S 65th Rd,MO,Aldrich,65601,False,9135,US
13320 Clear Canyon Ct,CA,Corona,92880,False,3028,US
504 Julia St,LA,New Iberia,70560,False,4538,US
1206 N Pine Lake Dr,FL,Tampa,33612,False,Not Available,US
125 Crosby Ct Apt 2,CA,Walnut Creek,94598,False,Not Available,US
1512 N Stonebridge St,WA,Ellensburg,98926,False,Not Available,US
7A Centennial Ave,MA,Gloucester,01930,False,2537,US
708 Wren St,SC,Sumter,29150,False,3736,US
57 Lenox St,CT,Hartford,06112,False,2221,US
2000 Aspen Dr,IL,Woodstock,60098,False,6904,US
7956 Papago Way,CA,Antelope,95843,False,2034,US
12734 Route 36,PA,Tionesta,16353,False,3328,US
1937 Caddo St,TX,Little Elm,75068,False,6309,US
1819 Tennyson Ave,OH,Dayton,45406,False,4053,US
19921 Eldora Road,OH,Rocky River,44116,False,Not Available,US
1001 Clint Moore Road,FL,Boca Raton,33487,False,Not Available,US
1099 Country Place Dr,PA,Tobyhanna,18466,False,7954,US
168 Hackett Hill Road,NH,Hooksett,3106,True,Not Available,US
765 east 175th street,NY,Bronx,10460,False,Not Available,US
6437 Kingswood Road,ND,Bismarck,58503,False,Not Available,US
3950 Hitchings St,MI,Fort Gratiot,48059,False,3300,US
7150 S Robertsdale Way,CO,Aurora,80016,False,7505,US
1146 W Village St,TX,Vidor,77662,True,Not Available,US
1923 W Homestead Dr,AZ,Chandler,85286,False,Not Available,US
6210 Mount Road,NY,Trumansburg,14886,False,Not Available,US
16611 29th Avenue,NY,Queens,11358,True,Not Available,US
937 Plymouth Lake Dr,NJ,Newton,07860,False,4127,US
934 N Jay St,IN,Griffith,46319,False,Not Available,US
1317 W Fargo Ave,IL,Chicago,60626,False,5933,US
5253 Banner Road Southeast,WA,Port Orchard,98367,False,Not Available,US
1209 Half Hitch Trl,TX,Georgetown,78633,False,2104,US
1222 Randolph Rd,LA,Lillie,71256,False,3424,US
194 norman rd,VA,Stafford,22554,False,Not Available,US
1504 Olive St,IA,Cedar Falls,50613,False,3714,US
846 broken sound parkway nw,FL,boca raton,33487,False,Not Available,US
221 E BROADWAY,NY,NEW YORK,10002,False,Not Available,US
1357 Ballentyne Pl,FL,Apopka,32703,False,6870,US
1800 Beaumont Dr Apt 721,OK,Norman,73071,False,2287,US
6 Smart Ave,NY,Yonkers,10704,False,1118,US
56 Chatham Drive,NY,Oakdale,11769,False,Not Available,US
410 Evernia St Apt 824,FL,West Palm Beach,33401,False,5441,US
8710 Cameron Street,MD,silver spring,20910,False,Not Available,US
2057 Fawn Ln,OH,Batavia,45103,False,9437,US
316 W Chestnut St,IL,Olney,62450,False,1514,US
101 Old Ferry Rd.,FL,Shalimar,32579,False,Not Available,US
308 Pecan St,TX,Alvord,76225,False,5040,US
354 Melvin Phillips Rd,GA,Jefferson,30549,False,Not Available,US
1579 Magnolia Heights St,LA,Vacherie,70090,False,5513,US
464 Greywood Ln,TN,Cordova,38018,False,7007,US
662 High St,NJ,Perth Amboy,08861,False,2955,US
46369 Hobbs Sq,VA,Sterling,20165,False,7262,US
156 Millbrook Rd,NJ,Hardwick,07825,False,9534,US
426 Bright Star Ln,FL,Jacksonville,32225,False,5120,US
108 S Chestnut St,OH,Van Wert,45891,False,1847,US
112 South Beagle Street,NY,Dunkirk,14048,False,Not Available,US
13862 County Road 52,AL,Geraldine,35974,False,3476,US
N5446 County Road D,WI,New London,54961,False,9277,US
115 Hillcrest Avenue,NJ,Plainfield,7062,False,Not Available,US
34832 Green Steele Road,FL,Dade City,33525,False,8101,US
4356 Walnut St,AL,Albertville,35950,False,9001,US
7784 Cobblesprings,IN,Avon,46123,False,Not Available,US
8126 Laurel Ln.,TX,Baytown,77523,False,Not Available,US
75 david rd hampton ga 30228,GA,Hampton,30228,False,Not Available,US
105 S. Southgate Dr,AZ,Chandler,85226,False,Not Available,US
36469 route 3,NY,Carthage,13619,False,Not Available,US
10301 road 1137,MS,Philadelphia,39350,False,Not Available,US
1045 Counselors Drive,NC,Monroe,28110,False,Not Available,US
98 White Birch Rd,NH,Sanbornville,03872,False,4384,US
42 Highfield Ln,NY,Roslyn Heights,11577,False,1827,US
2344 Yellow Pine Dr,NC,Graham,27253,False,8248,US
9 Osceola Street,MA,Hyde Park,2136,False,Not Available,US
2946 W 131st Way,CO,Broomfield,80020,False,4803,US
6719 Varick Ct,TX,Houston,77064,False,5152,US
861 Sugar Oak Ln,GA,Lawrenceville,30043,False,8710,US
25395 SW Graves Rd,OR,Sheridan,97378,False,9618,US
1749 Kauffman Rd,PA,Indiana,15701,False,7835,US
61 perry rd,CT,Bristol,6010,False,Not Available,US
400 Cameron Station Blvd,VA,Alexandria,22304,False,8221,US
1304 Old Dominion Rd,IL,Naperville,60540,False,7018,US
135 S la Salle St Ste 2950,IL,Chicago,60603,False,4138,US
6733 Helman Blvd,MI,Lansing,48911,False,7031,US
7109 Bear Ridge Rd,NY,North Tonawanda,14120,False,9584,US
1903 N Spruce Ter,IL,Arlington Heights,60004,False,3213,US
99 Harlow Pond Road,ME,Parkman,4443,False,Not Available,US
2760 Sandridge Church Rd,FL,Grand Ridge,32442,False,4358,US
1924 Lucille Lane,CA,Pleasant Hill,94523,False,Not Available,US
1631 Matunuck School House Road,RI,South Kingstown,2879,False,Not Available,US
402 Gordon Ct,TX,Austin,78753,False,5043,US
5309 W George St,IL,Chicago,60641,False,4910,US
2 Bay View Dr,MA,Swampscott,1907,False,Not Available,US
1544 County Road 422,AL,Opp,36467,False,Not Available,US
3240 Ware St,GA,Blackshear,31516,False,6110,US
1144 santa cruz way,CA,Rohnert Park,94928,False,Not Available,US
3233 16th st,CA,San Francisco,94103,False,Not Available,US
524 E Pioneer,WA,Puyallup,98372,False,Not Available,US
545 Thompson Run Rd,PA,Pittsburgh,15237,False,3939,US
1336 Pugh Rd,TN,Crossville,38555,False,1552,US
2939 Northwest 120th Way,FL,Sunrise,33323,False,Not Available,US
24795 Willowby Ave,MI,Eastpointe,48021,False,1442,US
8009 Norton Avenue,CA,West Hollywood,90046,False,Not Available,US
2016 NE 17th Ct,FL,Fort Lauderdale,33305,False,Not Available,US
3608 Providence St,MI,Flint,48503,False,7002,US
959 Pinedale Terrace,GA,Sugar Hill,30518,False,Not Available,US
17251 E Crystal Pl,IL,Bismarck,61814,False,5218,US
19609 109th Place Northeast,WA,Bothell,98011,False,Not Available,US
409 2 Street,FL,Lake Park,33403,False,Not Available,US
740 Sunny Slope Trace,KY,Lexington,40514,False,Not Available,US
503 Southland Trl,GA,Byron,31008,False,6062,US
78 Whitehall Ct,MO,Saint Louis,63144,False,1027,US
15428 Anderson Dr,MS,Biloxi,39532,False,Not Available,US
510 Lynn Terrace,IL,Waukegan,60085,False,Not Available,US
1216 11th Ave,NJ,Neptune,07753,False,5116,US
14045 Oxnard St,CA,Van Nuys,91401,False,3860,US
3 GREENWOOD AVE,MA,LYNN,1905,False,Not Available,US
523 N Grant Ave,CA,Manteca,95336,False,3924,US
712 West 7th Street,CA,Upland,91786,False,Not Available,US
2218 Port Trinity Cir,CA,Stockton,95206,False,4800,US
5338 Mission St,CA,San Francisco,94112,False,3738,US
1643 North 2640 West,UT,Lehi,84043,False,Not Available,US
4504 Delta Ave,CA,Rosemead,91770,False,1106,US
160 Hill Top Drive,TN,Lenoir City,37772,False,Not Available,US
4502 Del Mar Trl,TX,San Antonio,78251,False,Not Available,US
1534 Hilcorte Dr,CA,San Marcos,92069,False,2230,US
no 191 15 w railway ave,ND,Portal,58772,True,Not Available,US
615 S 27th St,PA,Easton,18045,False,5217,US
10270 NW 31st St,FL,Coral Springs,33065,False,3915,US
1863 Main St Ste 105,WA,Ferndale,98248,False,9059,US
4497 Summey St,SC,North Charleston,29405,False,3214,US
1926 Harvey Rd,CA,Olivehurst,95961,False,9317,US
126 Cumberland Avenue,PA,Washington,15301,False,Not Available,US
800 Wilshire Blvd Ste 860,CA,Los Angeles,90017,False,2796,US
307 mechanic street,TX,Cleburne,76031,False,Not Available,US
7911 Deerfield Blvd,TX,Selma,78154,False,3370,US
1731 Juniper Ave,CA,Torrance,90503,False,7223,US
217 S Palmers Chapel Rd,TN,Cottontown,37048,False,5104,US
623 Avenue Y,NY,Brooklyn,11235,False,6101,US
1015 w 152nd st,CA,Compton,90220,False,Not Available,US
1007 Kiriaka Dr,TX,Eagle Pass,78852,False,5506,US
905 west 53rd st,CA,Los Angeles,90037,False,Not Available,US
10720 S Burin Ave apt3,CA,Inglewood,90304,False,Not Available,US
5246 South 1915 West,UT,Salt Lake City,84129,False,Not Available,US
405 Tierra Berrenda,NM,Roswell,88201,False,Not Available,US
350 West First Street,CA,Los Angeles,90012,False,Not Available,US
905 El Campo Dr,TX,San Juan,78589,False,3834,US
6525 NW 201st St,FL,Hialeah,33015,False,2154,US
1150 Hollister Ave,CA,San Francisco,94124,False,3634,US
2102 Cascades Blvd,FL,Kissimmee,34741,False,3458,US
1107 Willow Knoll,TX,San Antonio,78258,False,7284,US
4209 Lakeland Dr Box 270,MS,Flowood,39232,False,9212,US
695 N Vista Ave,CA,Rialto,92376,True,4980,US
"275 Morningside Ter, Unit F",NJ,Teaneck,07666,False,4032,US
1510 27 Street,IA,Sioux City,51104,False,Not Available,US
8734 Aida Ct,TX,Laredo,78045,False,Not Available,US
198 Fairview ave,NJ,Prospect park,7508,False,Not Available,US
2876 W 2730 S,UT,West Valley City,84119,False,1808,US
31 Yvonne Dr,TX,Del Rio,78840,False,2999,US
1382 morris ave,NJ,UNION,7083,False,Not Available,US
5044 Wagon Wheel Way,CA,Antioch,94531,False,8429,US
4439 Lynfield Ln,CA,San Jose,95136,False,1626,US
406 Washington Ave.,NY,Brentwood,11717,False,Not Available,US
960 Torero Plz,CA,Campbell,95008,False,5939,US
216 Deverill St,KY,Ludlow,41016,False,1327,US
142-25 Pershing Crescent Apt 6J,NY,Briarwood,11435,False,Not Available,US
2929 Randall Road,NY,Ransomville,14131,False,Not Available,US
25334 295th Street,IA,Neola,51559,False,Not Available,US
56 Loughney Bay,WI,Hudson,54016,False,7741,US
24081 Novia Cir,CA,Mission Viejo,92691,False,4334,US
4110 Messina Dr,FL,Saint Augustine,32092,False,4516,US
2198 E Dallas Drive,IN,Terre Haute,47802,False,Not Available,US
81056 hwy 281,NE,greeley,68842,False,Not Available,US
194 Cedar Mountain Rd,NC,Asheville,28803,False,8690,US
15 Andrew Ter,MA,Lunenburg,01462,False,2201,US
223 Parkside Dr,TX,Zavalla,75980,False,7085,US
514 Seaport BLVD,FL,Cape Canaveral,32920,False,Not Available,US
1200 Newnan Crossing Blvd E,GA,Newnan,30265,False,1558,US
12123 Falcon Crest Way,CA,Porter Ranch,91326,False,Not Available,US
3217 Weston Drive,IN,Kokomo,46902,False,Not Available,US
6214 Havendale Dr,TX,Houston,77072,False,Not Available,US
1212 6th St S,FL,Saint Petersburg,33701,False,5135,US
300 Joshua Pl NW,NC,Concord,28027,False,0206,US
902 Bridge Road,CA,San Leandro,94577,False,Not Available,US
5192 Pine Aires Dr,MI,Sterling Heights,48314,False,1345,US
902 Woodlake Drive,CA,Santa Rosa,95405,False,Not Available,US
21 Fox Glove Way,NY,Ballston Spa,12020,False,3249,US
1121 Elizabeth St,TX,Sinton,78387,False,Not Available,US
4009chenoweth run road,KY,Louisville,40299,False,Not Available,US
1227 Pin Oak Drive,MS,Flowood,39232,False,Not Available,US
1172 Delaware St.,CO,Denver,80204,False,Not Available,US
1315 25th St SE,WA,Puyallup,98372,False,Not Available,US
5722 E Bellevue Street,AZ,Tucson,85712,False,Not Available,US
4131 Alby St,IL,Alton,62002,False,Not Available,US
35 Heroux Blvd,RI,Cumberland,02864,False,2309,US
5727 Coppervein Street,CO,Fort Collins,80528,False,Not Available,US
2575 Satyr Hill,OH,Columbus,43219,False,Not Available,US
6420 North Hampton Drive Northeast,GA,Atlanta,30328,False,Not Available,US
4829 carrollton Ave,IN,Indianapolis,46205,False,Not Available,US
3440 Stevens Ave,MN,Minneapolis,55408,False,4561,US
12219 Howard St,CA,Whittier,90601,False,2908,US
7488 Bell Station Rd,OH,Circleville,43113,False,9221,US
342 Whispering Ln,MN,Hastings,55033,False,Not Available,US
3007 Marigold Dr,TX,Wylie,75098,False,Not Available,US
12728 Kalmia St,CA,Rancho Cucamonga,91739,True,Not Available,US
5 Kensington court,NY,Great Neck,11021,False,Not Available,US
9119 Rendalia St,CA,Bellflower,90706,False,4221,US
1351 El Rancho Dr,CA,TEhachapi,93561,False,Not Available,US
169 Cross Ridge Lane Scottsville Ky,KY,Scottsville,42164,False,Not Available,US
34 Cedar Ave,IA,Charter Oak,51439,False,7733,US
50 Nonquit St,CT,West Haven,06516,False,1419,US
4207 Baker Ave,IL,Centreville,62207,False,Not Available,US
1716 Primrose Ave,IL,Granite City,62040,False,2345,US
9625 West Russell Road,NV,Las Vegas,89148,False,Not Available,US
8885 Christie Dr,FL,Largo,33771,False,6408,US
624 Ixora Ln,FL,Plantation,33317,False,1818,US
258 Brentwood Pkwy,NY,Brentwood,11717,False,2132,US
409 Warachie Ln,NM,Carlsbad,88220,False,6075,US
860 Broadway Fl 2,NY,New York,10003,False,Not Available,US
2515 White Bear Ave N,MN,Maplewood,55109,True,Not Available,US
143 W 95th St,NY,New York,10025,False,6645,US
1700 Makiki Street,HI,Honolulu,96822,False,Not Available,US
142 Academy Street,GA,Madison,30650,False,Not Available,US
1216 Cecil Noel Rd,KY,Bloomfield,40008,False,Not Available,US
40 Concord St,NH,Belmont,03220,False,4504,US
12945 N Thornydale Rd,AZ,Marana,85658,False,Not Available,US
81 North Main Street,NY,Homer,13077,False,Not Available,US
203 Ashley Pl,IL,Edwardsville,62025,False,3539,US
726 Johnson Ln,TX,Sugar Land,77479,False,5837,US
3956 Camp St,LA,New Orleans,70115,False,2655,US
2165 Spradlin Rd,VA,Vinton,24179,False,5941,US
241 East 600 North,UT,Lehi,84043,False,Not Available,US
5725 Park Side Pass,AL,Hoover,35244,False,Not Available,US
6131 W. 100th,MI,Fremont,49412,False,Not Available,US
3834 Whitman Ln,WI,Madison,53704,False,Not Available,US
28 Tafts Ave,MA,Winthrop,02152,False,2540,US
16151 S Sandalwood Rd,OR,Oregon City,97045,False,Not Available,US
1725 Florence St,NY,Merrick,11566,False,4913,US
5242 Cattle Crossing Way,FL,Jacksonville,32226,False,4758,US
850 Vine St Apt 24C,NY,LIVERPOOL,13088,False,Not Available,US
626 East 144th Place,IL,Dolton,60419,True,Not Available,US
1293 Nadene Dr,CA,Marysville,95901,False,3531,US
105 Kingsford Dr,NC,Stanley,28164,False,4121,US
1011 Cascade St,TX,Mesquite,75149,False,3304,US
7235 Gillespie St,PA,Philadelphia,19135,False,1229,US
1126 Bush Street,CA,San Francisco,94109,False,Not Available,US
9620 S Indiana Ave,IL,Chicago,60628,False,1412,US
2525 W A St,WA,Pasco,99301,True,Not Available,US
3815 64th Ave,MD,Hyattsville,20784,False,1854,US
4645 South Julian Street,CO,Englewood,80110,False,Not Available,US
472 Country Ln,TX,Marshall,75672,False,3361,US
700 South Market Street,IL,Waterloo,62298,False,Not Available,US
14621 229th st,NY,SPRNGFLD GDNS,11413,False,4420,US
32 Island Pond Rd,NH,Atkinson,03811,False,2128,US
1628 Quail Ridge Rd,IA,Cedar Falls,50613,False,4979,US
12542 35th Ave NE,WA,Seattle,98125,False,4546,US
6329 Pinelock Dr,FL,Jacksonville,32211,False,5733,US
2793 Chapel Hill Rd,TN,Clarksville,37040,False,8311,US
4311 23rd Pkwy,MD,Temple Hills,20748,False,4464,US
305 1st Street SW,ND,Stanley,58784,False,Not Available,US
717 Parkins Ave,WI,Milltown,54858,False,9012,US
5922 Bethel Road,GA,Clermont,30527,False,Not Available,US
12 Coburn Ave,MA,Gardner,01440,False,2528,US
30354 Hwy T,MO,Richland,65556,False,Not Available,US
309 Ironwoods Dr,NC,Chapel Hill,27516,False,Not Available,US
703 NE PILGRIM WAY,MO,Lees Summit,64086,False,Not Available,US
794 Richland Street,ND,Wahpeton,58075,False,Not Available,US
13007 Northland Dr,IL,Plainfield,60585,False,Not Available,US
1705 Hickory Creek Lane,TX,Rockwall,75032,False,Not Available,US
239 FRATERNALAND ROAD,NY,Paradox,12858,False,Not Available,US
120 Alder Dr,PA,Wexford,15090,False,Not Available,US
2270 South County Road 3,FL,Pierson,32180,False,Not Available,US
5662 Adventure Dr,OH,Dublin,43017,False,3048,US
220 kirkwall st,TX,Victoria,77904,False,Not Available,US
1320 whitewater road,GA,Chula,31733,False,Not Available,US
50 Upper Lynch Creek Rd,MT,Plains,59859,False,9236,US
2914 Chisholm Trail,TX,Austin,78734,False,Not Available,US
4161 county road 1485,OK,Stratford,74872,False,Not Available,US
2180 Water Song Run,SC,Sumter,29150,False,4633,US
1308 West County Road 143,TX,Midland,79706,False,Not Available,US
424 Little Rock Rd,GA,Cleveland,30528,False,5441,US
440 Putnam Pike,CT,Dayville,06241,False,1110,US
156-158 West 141st Street,NY,New York,10030,False,Not Available,US
16512 E 33rd St S,MO,Independence,64055,False,2927,US
8940 Highway 141,AL,Elba,36323,False,7156,US
1446 Tolma Ave,PA,Pittsburgh,15216,False,2034,US
6 Kossuth St,NJ,Haledon,07508,False,1512,US
201 Maple St,AR,Morrilton,72110,False,2511,US
2265 Moresca Ave,NV,Henderson,89052,False,Not Available,US
844 NH Route 4A,NH,Enfield,03748,False,3602,US
13226 SW 9th Ter,FL,Miami,33184,False,1930,US
410 Oakwood St SE,DC,Washington,20032,False,1619,US
220 N Rentz St,GA,Lenox,31637,False,7210,US
710 Albion Ave,OH,Akron,44320,False,1302,US
9205 Hannamill Dr,GA,Gainesville,30506,False,8047,US
123 West 120th Street,NY,New York,10027,False,Not Available,US
3316 Larsen ave,WA,Enumclaw,98022,False,Not Available,US
8000 Boteler Lane,MD,College Park,20740,True,Not Available,US
609 Ord Street,CA,Aptos,95003,False,Not Available,US
8810 Village Grove Drive,IN,Fort Wayne,46804,False,Not Available,US
109 Egelston Rd,NY,Fultonville,12072,False,1901,US
3025 El Monte Avenue,CA,Oakland,94605,False,Not Available,US
11991 caves rd,OH,chesterland,44026,False,Not Available,US
1416 S 5th Street,PA,Philadelphia,19147,False,Not Available,US
490 East Sharon Road,OH,Glendale,45246,False,Not Available,US
17201 Betty Pl.,CA,Cerritos,90703,False,Not Available,US
26 Hale Street,CT,Westport,6880,False,Not Available,US
509 Adirondac Avenue,MT,Hamilton,59840,False,Not Available,US
129 Wentz Dr,LA,Stonewall,71078,False,9654,US
611 ROBERTS RISE DR,FL,OCOEE,34761,False,2253,US
564 Serenity Ct,MD,Odenton,21113,False,1467,US
6072 General Diaz St,LA,New Orleans,70124,False,2940,US
2042 S May St,IL,Chicago,60608,False,3350,US
723 S. 10th Street,MN,montevideo,56265,False,Not Available,US
18800 Lina Street,TX,Dallas,75287,False,Not Available,US
737 Hilt Fornea Rd,MS,Poplarville,39470,False,Not Available,US
1440 S 49th Ave,IL,Cicero,60804,False,1453,US
6 finch pl,NY,Huntington,11743,False,Not Available,US
3267 Fair Oaks Ave,CA,Altadena,91001,False,4413,US
1427 W 96th St,CA,Los Angeles,90047,False,3929,US
179 Muehl Rd,TX,Seguin,78155,False,7874,US
36 Timothy LN,MS,carriere,39426,False,Not Available,US
915 Desty St,CA,San Diego,92154,False,1411,US
115 Private Road 2131,TX,Iredell,76649,False,4602,US
Summit on the River 6005 State Bridge Rd Apt 1733,GA,Duluth,30097,False,6465,US
105 North Beebe Street,AZ,Gilbert,85234,False,Not Available,US
2744 Park Blvd,CA,Oakland,94606,False,1523,US
1460 Bronx River Ave,NY,Bronx,10472,False,1018,US
4127 Loyala Chase Ln,OH,Dayton,45424,False,8005,US
220 W Central Ave,CA,Tracy,95376,False,Not Available,US
