,inputs.city,inputs.country,inputs.post_code,inputs.post_code_extension,inputs.safety_flag,inputs.state,inputs.street,attomdata_attom_id.row_id,attomdata_attom_id.client_id,attomdata_attom_id.attom_id,attomdata_attom_id.is_hit,attomdata_attom_id.error
3231,Victoria,US,77904,Not Available,False,TX,220 kirkwall st,3231,,211220305,True,
3232,Chula,US,31733,Not Available,False,GA,1320 whitewater road,3232,,,False,
3233,Plains,US,59859,9236,False,MT,50 Upper Lynch Creek Rd,3233,,300943993,True,
3234,Austin,US,78734,Not Available,False,TX,2914 Chisholm Trail,3234,,,False,
3235,Stratford,US,74872,Not Available,False,OK,4161 county road 1485,3235,,250325174,True,
3236,Sumter,US,29150,4633,False,SC,2180 Water Song Run,3236,,231113388,True,
3237,Midland,US,79706,Not Available,False,TX,1308 West County Road 143,3237,,41551004,True,
3238,Cleveland,US,30528,5441,False,GA,424 Little Rock Rd,3238,,,False,
3239,Dayville,US,6241,1110,False,CT,440 Putnam Pike,3239,,199126915,True,
3240,New York,US,10030,Not Available,False,NY,156-158 West 141st Street,3240,,,False,
3241,Independence,US,64055,2927,False,MO,16512 E 33rd St S,3241,,145665226,True,
3242,Elba,US,36323,7156,False,AL,8940 Highway 141,3242,,233256347,True,
3243,Pittsburgh,US,15216,2034,False,PA,1446 Tolma Ave,3243,,37416684,True,
3244,Haledon,US,7508,1512,False,NJ,6 Kossuth St,3244,,22002902,True,
3245,Morrilton,US,72110,2511,False,AR,201 Maple St,3245,,140590655,True,
3246,Henderson,US,89052,Not Available,False,NV,2265 Moresca Ave,3246,,33656436,True,
3247,Enfield,US,3748,3602,False,NH,844 NH Route 4A,3247,,151179880,True,
3248,Miami,US,33184,1930,False,FL,13226 SW 9th Ter,3248,,,False,
3249,Washington,US,20032,1619,False,DC,410 Oakwood St SE,3249,,1897440,True,
3250,Lenox,US,31637,7210,False,GA,220 N Rentz St,3250,,,False,
3251,Akron,US,44320,1302,False,OH,710 Albion Ave,3251,,44093285,True,
3252,Gainesville,US,30506,8047,False,GA,9205 Hannamill Dr,3252,,13005511,True,
3253,New York,US,10027,Not Available,False,NY,123 West 120th Street,3253,,169580143,True,
3254,Enumclaw,US,98022,Not Available,False,WA,3316 Larsen ave,3254,,47997387,True,
3255,College Park,US,20740,Not Available,True,MD,8000 Boteler Lane,3255,,,False,
3256,Aptos,US,95003,Not Available,False,CA,609 Ord Street,3256,,,False,
3257,Fort Wayne,US,46804,Not Available,False,IN,8810 Village Grove Drive,3257,,11286388,True,
3258,Fultonville,US,12072,1901,False,NY,109 Egelston Rd,3258,,169423377,True,
3259,Oakland,US,94605,Not Available,False,CA,3025 El Monte Avenue,3259,,155669247,True,
3260,chesterland,US,44026,Not Available,False,OH,11991 caves rd,3260,,36549032,True,
3261,Philadelphia,US,19147,Not Available,False,PA,1416 S 5th Street,3261,,178834850,True,
3262,Glendale,US,45246,Not Available,False,OH,490 East Sharon Road,3262,,33210473,True,
3263,Cerritos,US,90703,Not Available,False,CA,17201 Betty Pl.,3263,,154850180,True,
3264,Westport,US,6880,Not Available,False,CT,26 Hale Street,3264,,25699346,True,
3265,Hamilton,US,59840,Not Available,False,MT,509 Adirondac Avenue,3265,,300894872,True,
3266,Stonewall,US,71078,9654,False,LA,129 Wentz Dr,3266,,250647844,True,
3267,OCOEE,US,34761,2253,False,FL,611 ROBERTS RISE DR,3267,,2771094,True,
3268,Odenton,US,21113,1467,False,MD,564 Serenity Ct,3268,,,False,
3269,New Orleans,US,70124,2940,False,LA,6072 General Diaz St,3269,,31432426,True,
3270,Chicago,US,60608,3350,False,IL,2042 S May St,3270,,,False,
3271,montevideo,US,56265,Not Available,False,MN,723 S. 10th Street,3271,,217980527,True,
3272,Dallas,US,75287,Not Available,False,TX,18800 Lina Street,3272,,41598840,True,
3273,Poplarville,US,39470,Not Available,False,MS,737 Hilt Fornea Rd,3273,,240167411,True,
3274,Cicero,US,60804,1453,False,IL,1440 S 49th Ave,3274,,144606705,True,
3275,Huntington,US,11743,Not Available,False,NY,6 finch pl,3275,,37043218,True,
3276,Altadena,US,91001,4413,False,CA,3267 Fair Oaks Ave,3276,,141166517,True,
3277,Los Angeles,US,90047,3929,False,CA,1427 W 96th St,3277,,40342566,True,
3278,Seguin,US,78155,7874,False,TX,179 Muehl Rd,3278,,164832015,True,
3279,carriere,US,39426,Not Available,False,MS,36 Timothy LN,3279,,220580750,True,
3280,San Diego,US,92154,1411,False,CA,915 Desty St,3280,,156394800,True,
3281,Iredell,US,76649,4602,False,TX,115 Private Road 2131,3281,,,False,
3282,Duluth,US,30097,6465,False,GA,Summit on the River 6005 State Bridge Rd Apt 1733,3282,,,False,
3283,Gilbert,US,85234,Not Available,False,AZ,105 North Beebe Street,3283,,,False,
3284,Oakland,US,94606,1523,False,CA,2744 Park Blvd,3284,,1701782,True,
3285,Bronx,US,10472,1018,False,NY,1460 Bronx River Ave,3285,,,False,
3286,Dayton,US,45424,8005,False,OH,4127 Loyala Chase Ln,3286,,182449328,True,
3287,Tracy,US,95376,Not Available,False,CA,220 W Central Ave,3287,,,False,
3288,Phoenix,US,85037,5032,False,AZ,10001 W Colina Ct,3288,,23320386,True,
3289,Louisville,US,40245,6402,False,KY,12120 Bay Run Dr,3289,,26147449,True,
3290,twin valley,US,56584,Not Available,False,MN,102 garfield ave nw,3290,,298040826,True,
3291,Carlsbad,US,92008,4143,False,CA,866 Chinquapin Ave,3291,,,False,
3292,Louisville,US,40204,Not Available,False,KY,1209 Summit Ave,3292,,34434224,True,
3293,El Paso,US,79902,4148,False,TX,1501 N Stanton St Apt 4,3293,,,False,
3294,Flushing,US,11354,Not Available,False,NY,14650 Bayside Ave,3294,,168064107,True,
3295,Woodbridge,US,7095,Not Available,False,NJ,1311 Plaza Dr,3295,,228735154,True,
3296,Glen Allen,US,23059,Not Available,False,VA,512 Winterhawk Pl,3296,,251487811,True,
3297,Franklin,US,6254,Not Available,False,CT,49 Meeting House Hill Road,3297,,195977742,True,
3298,Chipley,US,32428,1440,False,FL,612 3rd St,3298,,38182225,True,
3299,Hilton Head Island,US,29926,2342,False,SC,201 Marshland Rd,3299,,44238340,True,
3300,Aliso Viejo,US,92656,Not Available,False,CA,101 endless vists,3300,,,False,
3301,Parker,US,80134,Not Available,False,CO,14816 Vienna Cir,3301,,322341360,True,
3302,Dublin,US,94568,4653,False,CA,5211 Demarcus Blvd,3302,,,False,
3303,new york,US,10012,Not Available,True,NY,112 greene st,3303,,169549751,True,
3304,Staunton,US,62088,2123,False,IL,716 S Madison St,3304,,176058821,True,
3305,Las Vegas,US,89148,Not Available,False,NV,9515 Aspen Canyon Ct.,3305,,25358911,True,
3306,West Des Moines,US,50266,1655,False,IA,8601 Westown Pkwy Unit 1211,3306,,,False,
3307,Bloomington,US,55431,Not Available,False,MN,3749 Towndale Dr,3307,,19443657,True,
3308,Morris,US,60450,9511,False,IL,6065 Peart Rd,3308,,176047524,True,
3309,Grapevine,US,76051,Not Available,False,TX,1707 Chaparral Ct,3309,,166154946,True,
3310,Tempe,US,85283,Not Available,False,AZ,1130 W Auburn Dr,3310,,17643532,True,
3311,Homestead,US,33032,Not Available,False,FL,11831 Southwest 272nd Terrace,3311,,,False,
3312,Hollister,US,95023,Not Available,False,CA,1271manzanita dr,3312,,20539700,True,
3313,Kearny,US,7032,2217,False,NJ,77 New Lawn Ave,3313,,,False,
3314,Lake Worth,US,33460,4917,False,FL,707 S M St,3314,,163572437,True,
3315,Tucson,US,85746,7977,False,AZ,3510 W Avenida Vera Cruz,3315,,10104423,True,
3316,Oakland,US,94610,Not Available,False,CA,7 Moss Avenue,3316,,158082582,True,
3317,Compton,US,90220,Not Available,False,CA,816 w 156 th street,3317,,17785339,True,
3318,Kenedy,US,78119,4454,False,TX,3515 Fm 798,3318,,235247732,True,
3319,Cutler Bay,US,33189,1113,False,FL,20221 SW 111th Ave,3319,,51652684,True,
3320,Boca Raton,US,33498,1945,False,FL,18228 Clear Brook Cir,3320,,16482247,True,
3321,Houston,US,77032,4308,False,TX,5415 McCracken Rd,3321,,47564767,True,
3322,Atlanta,US,30360,2155,False,GA,6672 Peachtree Industrial Blvd,3322,,,False,
3323,West Monroe,US,71291,Not Available,False,LA,386 New Chapel Hill Road,3323,,247122606,True,
3324,Portsmouth,US,23703,2128,False,VA,4900 W Norfolk Rd,3324,,196916538,True,
3325,Newark,US,7104,2518,False,NJ,54 Stone St,3325,,21088045,True,
3326,Lawrenceville,US,30044,Not Available,False,GA,2006 Quail run,3326,,171464520,True,
3327,Davenport,US,52803,Not Available,False,IA,1706 leclaire st,3327,,149390544,True,
3328,Phoenix,US,85029,1122,False,AZ,3753 W Surrey Ave,3328,,145937633,True,
3329,Austin,US,78745,Not Available,False,TX,6607 Starstreak Drive,3329,,166036593,True,
3330,Brisbane,US,94005,1267,False,CA,41 Lupine Valley Ct,3330,,146664233,True,
3331,Oakhurst,US,7755,1218,False,NJ,5 Barbara Ln,3331,,196260497,True,
3332,Los Angeles,US,90004,Not Available,False,CA,265 S Western Ave Unit 74016,3332,,,False,
3333,Joshua Tree,US,92252,2813,False,CA,60394 Latham Trl,3333,,,False,
3334,La Jolla,US,92037,Not Available,False,CA,2480 Rue Denise,3334,,34935070,True,
3335,Silver Spring,US,20910,Not Available,True,MD,1215 East West Highway #1504,3335,,,False,
3336,Columbus,US,43235,Not Available,False,OH,1635 Crusoe Drive,3336,,17748013,True,
3337,Kingsley,US,51028,Not Available,False,IA,113 Brandon Street,3337,,311048242,True,
3338,Jackson,US,41339,9415,False,KY,233 Oakwood Dr,3338,,,False,
3339,Lehi,US,84043,5958,False,UT,941 W 875 S,3339,,13170269,True,
3340,Riverdale,US,84405,Not Available,False,UT,3911 S 900 W,3340,,1546450,True,
3341,Palm Bay,US,32909,Not Available,False,FL,868 seven gables circle se,3341,,,False,
3342,Ames,US,50014,Not Available,False,IA,620 Lynn Ave,3342,,216754555,True,
3343,Visalia,US,93292,Not Available,False,CA,1930 E Pershing Ave,3343,,20571960,True,
3344,Franklin,US,46131,Not Available,False,IN,1114 Branigin Creek Ct,3344,,144222710,True,
3345,Charleston,US,29414,Not Available,False,SC,7106 Windmill Creek Road,3345,,36125343,True,
3346,Weston,US,54476,6431,False,WI,3912 Mount View Ave,3346,,,False,
3347,Wesley Chapel,US,33544,Not Available,False,FL,27127 Coral Springs Drive,3347,,19243656,True,
3348,Surprise,US,85388,Not Available,False,AZ,17526 W Lisbon Ln,3348,,14997092,True,
3349,Pickerington,US,43147,Not Available,False,OH,9252 Belmont Place,3349,,46886596,True,
3350,Lake Mary,US,32746,Not Available,False,FL,1065 Shadowmoss Cir,3350,,38155140,True,
3351,Andover,US,7821,Not Available,True,NJ,23 Woodfield Rd,3351,,190371349,True,
3352,Encino,US,91316,4127,False,CA,17028 Ventura Blvd,3352,,,False,
3353,Charlotte,US,28211,2090,True,NC,609 Queen Charlottes Ct,3353,,176854426,True,
3354,Martinsville,US,24112,8055,False,VA,170 Reginald Dr,3354,,219993184,True,
3355,Brooklyn,US,11233,2558,False,NY,509 Chauncey St,3355,,207108442,True,
3356,Wilmington,US,28401,3364,False,NC,526 N 2nd St,3356,,,False,
3357,Chattanooga,US,37411,Not Available,False,TN,3614 Navajo Drive,3357,,23129235,True,
3358,Meridian,US,83646,Not Available,False,ID,2746 N Springtime Way,3358,,15215299,True,
3359,Camden,US,71701,7107,False,AR,233 E Ingram St 870310795,3359,,291274291,True,
3360,Ewing,US,8628,Not Available,False,NJ,1708 country lane,3360,,,False,
3361,Sand Springs,US,74063,6168,False,OK,629 Loop Dr,3361,,202324839,True,
3362,Coleman,US,76834,9500,False,TX,908 Comal St,3362,,307077691,True,
3363,Newport,US,41071,Not Available,False,KY,2317 Macarthur Lane,3363,,44963914,True,
3364,Sewell,US,8080,Not Available,False,NJ,50 Sirius Court,3364,,14339333,True,
3365,Thomaston,US,30286,4440,False,GA,361 Eastside Dr,3365,,,False,
3366,Woodbridge,US,22193,3012,False,VA,4703 Still Pl,3366,,27215980,True,
3367,Mattawan,US,49071,8890,False,MI,24346 Vargas,3367,,22349949,True,
3368,Houston,US,77036,Not Available,False,TX,10101 Forum Park Dr. Apt. 1077,3368,,,False,
3369,Chesapeake,US,23320,Not Available,False,VA,505 Mountain Stone Way,3369,,202494053,True,
3370,San Francisco,US,94108,Not Available,True,CA,550 Kearny street,3370,,,False,
3371,Pinnacle,US,27043,8264,False,NC,364 Knollcrest Dr,3371,,303512811,True,
3372,Warwick,US,2889,2904,False,RI,72 Anchorage Rd,3372,,200237519,True,
3373,Virginia Beach,US,23464,Not Available,True,VA,1148 Lady Victoria Way,3373,,29922790,True,
3374,Scurry,US,75158,Not Available,False,TX,3510 S State Highway 34,3374,,,False,
3375,Cedar Bluff,US,35959,3501,False,AL,610 County Road 104,3375,,290350914,True,
3376,Spring,US,77373,7579,True,TX,22397 Lakeway Dr,3376,,166914064,True,
3377,Costa Mesa,US,92626,7986,False,CA,2915 Red Hill Ave Ste F204,3377,,,False,
3378,Pleasant Shade,US,37145,3272,False,TN,6 Parkhurst Ln,3378,,243492584,True,
3379,Gum Spring,US,23065,2199,False,VA,144 Buck Dr,3379,,189603755,True,
3380,Harker Heights,US,76548,2586,False,TX,629 Tundra Dr,3380,,9749373,True,
3381,Hebron,US,46341,Not Available,False,IN,326 S St Rd 2,3381,,154201210,True,
3382,Cockeysville,US,21030,Not Available,False,MD,806 Warren Rd,3382,,202676488,True,
3383,Olathe,US,66062,4811,False,KS,14506 S Brougham Dr,3383,,214051045,True,
3384,Huntersville,US,28078,5441,False,NC,11118 Harbert Rd Please Get Signature For Packages,3384,,,False,
3385,Lincoln,US,68506,Not Available,False,NE,4111 South 37th Street,3385,,32322093,True,
3386,St. Louis,US,63139,Not Available,True,MO,6665 West Park Ave,3386,,,False,
3387,Carrollton,US,75007,1025,False,TX,1323 Black Oak Dr,3387,,142507687,True,
3388,Middletown,US,45042,1609,False,OH,4805 Eck Rd,3388,,37147791,True,
3389,Granger,US,46530,Not Available,False,IN,15030 Stransbury Ct,3389,,212428341,True,
3390,St Pete Beach,US,33706,4041,False,FL,3123 W Maritana Dr,3390,,164342729,True,
3391,Batavia,US,14020,1775,False,NY,206 Naramore Dr,3391,,168357303,True,
3392,Tucson,US,85747,9645,False,AZ,10939 E Passion Flower Ln,3392,,219175851,True,
3393,Aurora,US,44202,Not Available,False,OH,75 Lakeland Way,3393,,320972443,True,
3394,Manassas,US,20109,8133,False,VA,8103 Pointer Ln,3394,,,False,
3395,Houston,US,77070,2510,False,TX,11619 Laneview Dr,3395,,165290737,True,
3396,Arlingon,US,76002,Not Available,False,TX,7609 Velvet Antler Trail,3396,,,False,
3397,Point,US,75472,5529,False,TX,469 N 1st St,3397,,213618940,True,
3398,Torrance,US,90502,Not Available,True,CA,941 West Carson Street,3398,,,False,
3399,mexico,US,13114,Not Available,False,NY,182 tudo road,3399,,170212612,True,
3400,Sarasota,US,34232,Not Available,False,FL,4159 Arrow Lane,3400,,14859891,True,
3401,Suitland,US,20746,2601,False,MD,3398 Curtis Dr,3401,,,False,
3402,Kingsville,US,78363,Not Available,False,TX,808 w Lee,3402,,235500623,True,
3403,North Richland Hills,US,76180,8078,True,TX,6104 Circleview Dr,3403,,9555293,True,
3404,Chesapeake,US,23323,Not Available,False,VA,2315 Cross Street,3404,,12446412,True,
3405,Chicago,US,60660,1232,False,IL,1612 W Granville Ave Apt 1S,3405,,,False,
3406,Dardanelle,US,72834,8799,False,AR,10216 Birdie St,3406,,215092415,True,
3407,Riverton,US,84065,6867,False,UT,13508 S Cervina Way,3407,,183928771,True,
3408,Altoona,US,66710,8653,False,KS,9998 Viola Rd,3408,,295372334,True,
3409,Haverhill,US,1830,2843,False,MA,10 Tappan St,3409,,195148275,True,
3410,Fayetteville,US,28304,0415,False,NC,2002 Pinewood Ter,3410,,,False,
3411,Niles,US,49120,Not Available,False,MI,2410 Elizabeth,3411,,288542993,True,
3412,Avon by the Sea,US,7717,1140,False,NJ,437 Woodland Ave,3412,,50286751,True,
3413,Katy,US,77449,Not Available,False,TX,21500 Park Row Drive,3413,,,False,
3414,Holbrook,US,2343,1309,False,MA,525 South St,3414,,21691940,True,
3415,Rumson,US,7760,1309,False,NJ,12 Oakwood Ln,3415,,19265024,True,
3416,Albuquerque,US,87120,Not Available,False,NM,4601 Montano road alb nm,3416,,,False,
3417,Mount Sterling,US,43143,9529,False,OH,16992 Whiteside Rd,3417,,320469407,True,
3418,Long Beach,US,90807,3245,False,CA,209 W San Antonio Dr,3418,,155007104,True,
3419,Paw Paw,US,49079,1261,False,MI,115 S State St,3419,,207701881,True,
3420,Windom,US,56101,Not Available,False,MN,854 Highland Road,3420,,312256259,True,
3421,Stillwater,US,74075,Not Available,False,OK,104 East McElroy Road,3421,,220252313,True,
3422,Armada,US,48005,Not Available,False,MI,73820 True Road,3422,,172689679,True,
3423,Gaylord,US,49735,Not Available,False,MI,163 Invitational Dr,3423,,289953323,True,
3424,Houston,US,77006,Not Available,False,TX,2350 Bagby St.,3424,,,False,
3425,Brooklyn,US,11212,Not Available,False,NY,240 Lott Avenue,3425,,,False,
3426,Jonesboro,US,72404,Not Available,False,AR,124 County Road 4254,3426,,218591265,True,
3427,Bay Village,US,44140,Not Available,False,OH,25042 Lake Road,3427,,21128102,True,
3428,Clinton,US,52732,6250,False,IA,1046 Grandview Dr,3428,,250184157,True,
3429,Winnie,US,77665,9287,False,TX,14113 Gordon Rd,3429,,165699487,True,
3430,Urbana,US,52345,9122,False,IA,401 Grace Ave,3430,,311170507,True,
3431,Atlanta,US,30317,Not Available,False,GA,31 Mayson Ave NE,3431,,17704617,True,
3432,Gainesville,US,32605,Not Available,False,FL,4301 NW 21st Ter,3432,,,False,
3433,East Windsor,US,6088,9759,False,CT,150 Regina Dr,3433,,,False,
3434,New Springfield,US,44443,9601,False,OH,112 Poland Rd,3434,,19801127,True,
3435,Miami,US,33319,Not Available,True,FL,18701 Northeast 3rd Court,3435,,162850659,True,
3436,Angleton,US,77515,7852,False,TX,63 Eagons Rd,3436,,36449901,True,
3437,Greensboro,US,27405,4899,False,NC,130 Queensberry Ct,3437,,38623075,True,
3438,Adrian,US,49221,Not Available,False,MI,434 Beechwood Dr,3438,,172857643,True,
3439,Soso,US,39480,5082,False,MS,998 Highway 28 W,3439,,,False,
3440,San Antonio,US,78232,4027,False,TX,15303 Mount Eagle St,3440,,224374348,True,
3441,Davenport,US,33896,8194,False,FL,227 Paradise Woods Ct,3441,,43534211,True,
3442,Douglassville,US,19518,9402,False,PA,5010 Overlook Pointe,3442,,,False,
3443,Powder Springs,US,30127,1759,False,GA,2831 Braemore Pl,3443,,10409631,True,
3444,Clermont,US,34714,Not Available,False,FL,2319 Majestic Eagle CircleMaj,3444,,,False,
3445,Chino Hills,US,91709,3256,False,CA,5952 Meadowood Ct,3445,,46103844,True,
3446,Mount Jackson,US,22842,Not Available,False,VA,3767 Crooked Run Road,3446,,233934521,True,
3447,Bridgeport,US,48722,9528,False,MI,3145 S Airport Rd,3447,,26206209,True,
3448,Clover,US,29710,Not Available,False,SC,102 clinton avenue,3448,,7490138,True,
3449,CHARLTON,US,1507,1529,False,MA,27 Hanson Rd,3449,,9214937,True,
3450,Hoosick Falls,US,12090,1343,False,NY,24 Abbott St,3450,,9323889,True,
3451,Austell,US,30168,6327,False,GA,7093 Springgrove Ct,3451,,9076811,True,
3452,Manahawkin,US,8050,2109,False,NJ,948 Painter Ln,3452,,53727360,True,
3453,Elm City,US,27822,8722,False,NC,405 E Wilson St,3453,,,False,
3454,Walnut,US,91789,4730,False,CA,19060 Garnet Way,3454,,51813657,True,
3455,Watseka,US,60970,1419,False,IL,513 N 6th St,3455,,293013248,True,
3456,Davenport,US,52806,1867,False,IA,1139 W 57th St,3456,,215855015,True,
3457,Merrimack,US,3054,3113,False,NH,57 Joppa Rd,3457,,192126529,True,
3458,Nashville,US,37205,Not Available,False,TN,6235 Brownlee Drive,3458,,4354397,True,
3459,CYPRESS,US,77433,Not Available,False,TX,20526 DOUBLE MEADOWS DR,3459,,164880413,True,
3460,Pearl,US,39208,Not Available,False,MS,120 Uno Circle,3460,,,False,
3461,Chatsworth,US,30705,Not Available,False,GA,528 Young Road,3461,,171211799,True,
3462,Las vegas,US,89121,Not Available,False,NV,2675 S Nellis blvd #1160,3462,,,False,
3463,Lithonia,US,30038,6249,False,GA,4530 Idlewood Park,3463,,49521623,True,
3464,Gulfport,US,39503,8213,False,MS,15073 Northrup Cuevas Rd,3464,,193860549,True,
3465,Murrieta,US,92563,Not Available,False,CA,39860 Saint Honore Dr,3465,,21062952,True,
3466,Troy,US,45373,2411,False,OH,1285 York Ln,3466,,50489492,True,
3467,MACOMB,US,48044,Not Available,False,MI,20911 Rockhill,3467,,,False,
3468,Butler,US,16001,9793,False,PA,121 Minson Ln,3468,,33615163,True,
3469,Dickson,US,37055,Not Available,False,TN,1624 Highway 48 South,3469,,2492984,True,
3470,Butte,US,59701,6123,False,MT,2115 Princeton St,3470,,300984174,True,
3471,East Patchogue,US,11772,5788,False,NY,119 Chapel Ave,3471,,42844310,True,
3472,Los Angeles,US,91344,Not Available,False,CA,11032 Dempsey Avenue,3472,,1515238,True,
3473,Ypsilanti,US,48198,8406,False,MI,8315 N Warwick Ct,3473,,151181728,True,
3474,Belle Plaine,US,56011,3301,False,MN,921 S Elm St,3474,,195900008,True,
3475,Minneapolis,US,55418,1208,False,MN,3602 Architect Ave,3475,,42165207,True,
3476,Seattle,US,98144,Not Available,False,WA,3214 18th Ave S,3476,,141438376,True,
3477,State College,US,16801,7299,False,PA,250 Meadowsweet Dr,3477,,212626062,True,
3478,Hamburg,US,14075,Not Available,False,NY,6487 Stevens Rd,3478,,37740942,True,
3479,Matawan,US,7747,9651,False,NJ,1 Grenoble Ct,3479,,48435722,True,
3480,Sidney,US,45365,Not Available,False,OH,8320 Lochard Rd.,3480,,153769315,True,
3481,Cincinnati,US,45243,2026,False,OH,6960 Michael Dr,3481,,183134008,True,
3482,Chamblee,US,30341,3156,False,GA,5193 Peachtree Blvd,3482,,171083419,True,
3483,Portland,US,47371,Not Available,False,IN,4970 S US HWY 27,3483,,211110463,True,
3484,Northwood,US,43619,2207,False,OH,5407 Woodville Rd,3484,,50209515,True,
3485,Moody,US,35004,3313,False,AL,2803 Gilley Dr,3485,,197140707,True,
3486,Papillion,US,68046,2957,False,NE,835 Crest Dr,3486,,140111089,True,
3487,Keller,US,76244,Not Available,False,TX,10617 Crawford Farms Drive,3487,,166330992,True,
3488,Suffolk,US,23435,Not Available,False,VA,6210 Cushing Street,3488,,250365481,True,
3489,Flint,US,48503,1531,False,MI,1225 Chippewa St,3489,,219244588,True,
3490,fuquay Varina,US,27526,Not Available,False,NC,5017 Beckwyck Drive,3490,,176958533,True,
3491,Audubon,US,50025,1006,False,IA,309 Freeman Ave,3491,,293866325,True,
3492,Brownsburg,US,46112,Not Available,False,IN,7984 Heather Court,3492,,191266011,True,
3493,Canyon Country,US,91351,Not Available,False,CA,27748 Pine Hills Ave,3493,,20682602,True,
3494,Philadelphia,US,19104,Not Available,False,PA,4418 Chestnut Street,3494,,,False,
3495,Lincolnton,US,28092,9507,False,NC,3310 Cascade Rd,3495,,177222424,True,
3496,Raeford,US,28376,Not Available,False,NC,122 Remington Dr,3496,,303259332,True,
3497,San Diego,US,92129,Not Available,False,CA,13269 Deron Avenue,3497,,156756745,True,
3498,Steens,US,39766,9567,False,MS,682 Gunshoot Rd,3498,,219786140,True,
3499,Baltimore,US,21239,Not Available,False,MD,538 Wyanoke Ave,3499,,15070664,True,
3500,Lawrenceburg,US,40342,9688,False,KY,1548 Ninevah Rd,3500,,295408565,True,
3501,Culpeper,US,22701,Not Available,False,VA,21424 Belle Meade Farm Rd,3501,,203873213,True,
3502,Martinsville,US,62442,1007,False,IL,201 N Grant St Apt 2B,3502,,,False,
3503,Las Vegas,US,89113,Not Available,False,NV,7321 Aspire Court,3503,,149931657,True,
3504,Grand chute,US,54914,1404,False,WI,3425 N Summit St,3504,,140563183,True,
3505,East Alton,US,62024,Not Available,False,IL,210 Northmoor Pl,3505,,16535542,True,
3506,Paso Robles,US,93446,9654,False,CA,315 Woodland Rd,3506,,,False,
3507,Philadelphia,US,19136,2804,False,PA,4323 Ashburner St,3507,,50566064,True,
3508,San Diego,US,92122,Not Available,False,CA,3550 Lebon Drive,3508,,,False,
3509,Clayton,US,27520,3445,False,NC,733 Santa Gertrudis Dr,3509,,177579777,True,
3510,Port Orchard,US,98366,8118,False,WA,3646 Beach Dr E,3510,,184922104,True,
3511,Accokeek,US,20607,3301,False,MD,16605 Old Cabin Pl,3511,,144443995,True,
3512,Bloomfield Hills,US,48301,1028,False,MI,4759 Quarton Rd,3512,,172833936,True,
3513,Cleveland,US,44120,5068,False,OH,3686 Ludgate Rd,3513,,141058166,True,
3514,Valdosta,US,31605,4302,False,GA,2788 Lakeland Hwy,3514,,211836420,True,
3515,Plainfield,US,60586,6213,False,IL,4408 Sunset Ridge Dr,3515,,11330052,True,
3516,Leesville,US,71446,5016,False,LA,2194 University Pkwy,3516,,,False,
3517,Los Angeles,US,90001,3411,False,CA,8009 Maie Ave,3517,,,False,
3518,Keizer,US,97303,3407,False,OR,928 Nandina Ct NE,3518,,144030282,True,
3519,Diboll,US,75941,Not Available,False,TX,1205 s 1st,3519,,,False,
3520,Saint Cloud,US,34772,7224,False,FL,4631 Cypress Landing Ln,3520,,142026766,True,
3521,Tulsa,US,74131,4001,False,OK,6735 Fantacy Ln,3521,,,False,
3522,Pooler,US,31322,Not Available,False,GA,301 Casey Drive,3522,,221062569,True,
3523,Daphne,US,36527,3130,True,AL,7090 Highpointe Pl W,3523,,199738513,True,
3524,Vancouver,US,98684,Not Available,False,WA,16707 Ne 5th Street,3524,,25391519,True,
3525,Johnson City,US,37615,3201,True,TN,121 Rosebud Ln,3525,,44385157,True,
3526,las vegas,US,89178,Not Available,False,NV,7567 desertscape ave,3526,,8213023,True,
3527,Humble,US,77346,3839,False,TX,13326 Canton Cliff Ct,3527,,249775402,True,
3528,Kuna,US,83634,2004,False,ID,2194 N Fire Opal Ave,3528,,44891148,True,
3529,Alpharetta,US,30022,6317,False,GA,10425 Oxford Mill Cir,3529,,17073519,True,
3530,Barton,US,5822,9414,False,VT,135 High St,3530,,198518844,True,
3531,McComb,US,39648,8225,False,MS,2012 Oakdale Rd,3531,,298936314,True,
3532,Seminole,US,33776,3202,False,FL,8257 129th Ln N,3532,,,False,
3533,San Marcos,US,78666,3468,False,TX,228 Horsemint Way,3533,,326087643,True,
3534,Troy,US,45373,4488,False,OH,3314 Heatherstone Dr,3534,,317169534,True,
3535,SAINT LOUIS,US,63116,Not Available,False,MO,4415 DELOR ST,3535,,9951840,True,
3536,Media,US,19063,4324,False,PA,29 Wells Fleet Way,3536,,47237563,True,
3537,Raleigh,US,27614,6432,False,NC,10301 Falls Mill Dr,3537,,,False,
3538,Detroit,US,48202,Not Available,False,MI,120 Seward St,3538,,327169469,True,
3539,Morgan City,US,70380,2732,False,LA,713 Hilda St,3539,,297316543,True,
3540,Downsville,US,71234,3065,False,LA,171 Abear Ln,3540,,296995730,True,
3541,Orlando,US,32812,1650,False,FL,5954 Swoffield Dr,3541,,25272098,True,
3542,Waterloo,US,50701,Not Available,False,IA,1614 Garden Avenue,3542,,187947421,True,
3543,Los Angeles,US,90064,2884,False,CA,11629 1/2 Gateway Blvd,3543,,39897411,True,
3544,Ashburn,US,20148,Not Available,False,VA,22531 Armstrong tr 312,3544,,,False,
3545,Bedminster,US,7921,2012,False,NJ,9 Mallard Ln,3545,,48641965,True,
3546,Mountain Grove,US,65711,2053,False,MO,8902 Highway Ff,3546,,,False,
